ON076649.1	Bahrain
ON419354.1	Bahrain
OP295547.1	Bahrain
OM844375.1	Bahrain
OM843199.1	Bahrain
ON103141.1	Bahrain
OM986627.1	Bahrain
OM986604.1	Bahrain
OM845115.1	Bahrain
ON627315.1	Bahrain
OP114052.1	Bahrain
OM986601.1	Bahrain
ON171874.1	Bahrain
ON171929.1	Bahrain
ON627439.1	Bahrain
ON103276.1	Bahrain
OM843474.1	Bahrain
ON077196.1	Bahrain
ON146388.1	Bahrain
OP114425.1	Bahrain
ON146415.1	Bahrain
ON420267.1	Bahrain
OM845216.1	Bahrain
OM845184.1	Bahrain
OP169765.1	Bahrain
ON197804.1	Bahrain
OM844250.1	Bahrain
ON419356.1	Bahrain
ON146389.1	Bahrain
ON103264.1	Bahrain
OM844309.1	Bahrain
OM843155.1	Bahrain
OM986556.1	Bahrain
ON146372.1	Bahrain
ON146421.1	Bahrain
OP256697.1	Bahrain
ON849037.1	Bahrain
ON171845.1	Bahrain
OP295527.1	Bahrain
ON076658.1	Bahrain
OM845075.1	Bahrain
ON597597.1	Bahrain
ON171896.1	Bahrain
ON627369.1	Bahrain
OM250137.1	Bahrain
ON103074.1	Bahrain
OP114025.1	Bahrain
OM843214.1	Bahrain
OM845217.1	Bahrain
ON629622.1	Bahrain
ON627393.1	Bahrain
OM843310.1	Bahrain
OM844298.1	Bahrain
OM845173.1	Bahrain
OM843181.1	Bahrain
OM844331.1	Bahrain
ON935686.1	Bahrain
ON627414.1	Bahrain
OM986678.1	Bahrain
OP256626.1	Bahrain
OP295555.1	Bahrain
ON627456.1	Bahrain
OM986522.1	Bahrain
OM845203.1	Bahrain
ON076627.1	Bahrain
OM844255.1	Bahrain
ON420269.1	Bahrain
ON146537.1	Bahrain
OM844067.1	Bahrain
ON146377.1	Bahrain
ON197858.1	Bahrain
ON627485.1	Bahrain
ON171991.1	Bahrain
OP114483.1	Bahrain
ON197729.1	Bahrain
OP114465.1	Bahrain
ON077330.1	Bahrain
ON197746.1	Bahrain
ON146558.1	Bahrain
ON935688.1	Bahrain
OM844208.1	Bahrain
OM986581.1	Bahrain
ON629641.1	Bahrain
OM844207.1	Bahrain
ON420471.1	Bahrain
OM844055.1	Bahrain
ON197796.1	Bahrain
ON418971.1	Bahrain
ON171943.1	Bahrain
ON419017.1	Bahrain
OP256670.1	Bahrain
OP114467.1	Bahrain
ON171941.1	Bahrain
ON172003.1	Bahrain
ON103070.1	Bahrain
ON935664.1	Bahrain
ON076699.1	Bahrain
OM844402.1	Bahrain
OM843213.1	Bahrain
OM844079.1	Bahrain
ON197739.1	Bahrain
ON597575.1	Bahrain
OM844295.1	Bahrain
OP295516.1	Bahrain
OM843142.1	Bahrain
ON597500.1	Bahrain
ON103152.1	Bahrain
ON076624.1	Bahrain
